No.,Player,Pos,Ht,Wt,"Birth Date",Nationality,Exp,College,Team,State,Country
17,"Onyeka Okongwu",C,6/8/2023,235,12/11/2000,us,2,USC,"Atlanta Hawks",California,"United States"
14,"AJ Griffin",SF,6/6/2023,222,8/25/2003,us,R,Duke,"Atlanta Hawks",Texas,"United States"
1,"Jalen Johnson",SF,6/9/2023,220,12/18/2001,us,1,Duke,"Atlanta Hawks",Wisconsin,"United States"
5,"Dejounte Murray",SG,6/4/2023,180,9/19/1996,us,5,Washington,"Atlanta Hawks",Washington,"United States"
11,"Trae Young",PG,6/1/2023,164,9/19/1998,us,4,Oklahoma,"Atlanta Hawks",Texas,"United States"
20,"John Collins",PF,6/9/2023,235,9/23/1997,us,5,"Wake Forest","Atlanta Hawks",Utah,"United States"
3,"Aaron Holiday",PG,6/1/2000,185,9/30/1996,us,4,UCLA,"Atlanta Hawks",Louisiana,"United States"
12,"De'Andre Hunter",SF,6/8/2023,225,12/2/1997,us,3,Virginia,"Atlanta Hawks",Pennsylvania,"United States"
15,"Clint Capela",C,6/10/2023,240,5/18/1994,ch,8,,"Atlanta Hawks",,Switzerland
13,"Bogdan Bogdanovi?",SG,6/6/2023,220,8/18/1992,rs,5,,"Atlanta Hawks",,Serbia
27,"Vit Krejci",PG,6/8/2023,195,6/19/2000,cz,1,,"Atlanta Hawks",,"Czech Republic"
2,"Trent Forrest  (TW)",PG,6/4/2023,210,6/12/1998,us,2,"Florida State","Atlanta Hawks",Alabama,"United States"
22,"Tyrese Martin",SG,6/6/2023,215,3/7/1999,us,R,"Rhode Island, UConn","Atlanta Hawks",Pennsylvania,"United States"
41,"Saddiq Bey",SF,6/7/2023,215,4/9/1999,us,2,Villanova,"Atlanta Hawks","North Carolina","United States"
25,"Garriison Matthews (TW)",SG,6/5/2023,215,10/10/1996,us,3,Lipscomb,"Atlanta Hawks",Tennessee,"United States"
24,"Bruno Fernando",C,6/9/2023,240,8/15/1998,ao,3,Maryland,"Atlanta Hawks",,Angola
NULL,"Donovan Williams",SG,6/6/2023,190,9/6/2001,us,R,"Texas, UNLV","Atlanta Hawks",Texas,"United States"
9,"Derrick White",SG,6/4/2023,190,7/2/1994,us,5,"Colorado-Colorado Springs, Colorado","Boston Celtics",Colorado,"United States"
12,"Grant Williams",PF,6/6/2023,236,11/30/1998,us,3,Tennessee,"Boston Celtics",Texas,"United States"
30,"Sam Hauser",PF,6/8/2023,215,12/8/1997,us,1,"Marquette, Virginia","Boston Celtics",Wisconsin,"United States"
0,"Jayson Tatum",PF,6/8/2023,210,3/3/1998,us,5,Duke,"Boston Celtics",Missouri,"United States"
40,"Luke Kornet",C,7/2/2023,250,7/15/1995,us,5,Vanderbilt,"Boston Celtics",Texas,"United States"
13,"Malcolm Brogdon",PG,6/5/2023,229,12/11/1992,us,6,Virginia,"Boston Celtics",Georgia,"United States"
7,"Jaylen Brown",SF,6/6/2023,223,10/24/1996,us,6,California,"Boston Celtics",Georgia,"United States"
42,"Al Horford",C,6/9/2023,240,6/3/1986,do,15,Florida,"Boston Celtics",,"Dominican Republic"
36,"Marcus Smart",PG,6/3/2023,220,3/6/1994,us,8,"Oklahoma State","Boston Celtics",Texas,"United States"
11,"Payton Pritchard",PG,6/1/2023,195,1/28/1998,us,2,Oregon,"Boston Celtics",Oregon,"United States"
91,"Blake Griffin",C,6/9/2023,250,3/16/1989,us,12,Oklahoma,"Boston Celtics",Oklahoma,"United States"
44,"Robert Williams",C,6/9/2023,237,10/17/1997,us,4,"Texas A&M","Boston Celtics",Louisiana,"United States"
20,"JD Davison  (TW)",PG,6/3/2023,195,10/3/2002,us,R,Alabama,"Boston Celtics",Alabama,"United States"
57,"Mike Muscala",C,6/10/2023,240,7/1/1991,us,9,Bucknell,"Boston Celtics",Minnesota,"United States"
28,"Mfiondu Kabengele  (TW)",PF,6/9/2023,250,8/14/1997,ca,2,"Florida State","Boston Celtics",,Canada
8,"Danilo Gallinari",SF,6/10/2023,233,8/8/1988,it,13,,"Boston Celtics",,Italy
0,"Royce O'Neale",SF,6/4/2023,226,6/5/1993,us,5,"Denver, Baylor","Brooklyn Nets",Texas,"United States"
33,"Nic Claxton",C,6/11/2023,215,4/17/1999,us,3,Georgia,"Brooklyn Nets","South Carolina","United States"
12,"Joe Harris",SG,6/6/2023,220,9/6/1991,us,8,Virginia,"Brooklyn Nets",Washington,"United States"
4,"Edmond Sumner",SG,6/4/2023,196,12/31/1995,us,4,Xavier,"Brooklyn Nets",Michigan,"United States"
18,"Yuta Watanabe",SF,6/9/2023,215,10/13/1994,jp,4,"George Washington","Brooklyn Nets",,Japan
10,"Ben Simmons",PG,6/10/2023,240,7/20/1996,au,4,LSU,"Brooklyn Nets",,Australia
24,"Cam Thomas",SG,6/4/2023,210,10/13/2001,jp,1,LSU,"Brooklyn Nets",,Japan
30,"Seth Curry",SG,6/2/2023,185,8/23/1990,us,8,"Liberty, Duke","Brooklyn Nets","North Carolina","United States"
8,"Patty Mills",PG,6/1/2023,180,8/11/1988,au,13,"Saint Mary's","Brooklyn Nets",,Australia
20,"Day'Ron Sharpe",C,6/11/2023,265,11/6/2001,us,1,UNC,"Brooklyn Nets","North Carolina","United States"
6,"David Duke Jr.  (TW)",SG,6/5/2023,205,10/13/1999,us,1,Providence,"Brooklyn Nets","Rhode Island","United States"
26,"Spencer Dinwiddie",PG,6/5/2023,215,4/6/1993,us,8,Colorado,"Brooklyn Nets",California,"United States"
28,"Dorian Finney-Smith",PF,6/7/2023,220,5/4/1993,us,6,Florida,"Brooklyn Nets",Virginia,"United States"
1,"Mikal Bridges",SF,6/6/2023,209,8/30/1996,us,4,Villanova,"Brooklyn Nets",Pennsylvania,"United States"
2,"Cameron Johnson",PF,6/8/2023,210,3/3/1996,us,3,"Pitt, UNC","Brooklyn Nets",Pennsylvania,"United States"
9,"Dru Smith  (TW)",SG,6/3/2023,203,12/30/1997,us,R,"University of Evansville, Missouri","Brooklyn Nets",Indiana,"United States"
25,"P.J. Washington",PF,6/7/2023,230,8/23/1998,us,3,Kentucky,"Charlotte Hornets",Kentucky,"United States"
3,"Terry Rozier",SG,6/1/2023,190,3/17/1994,us,7,Louisville,"Charlotte Hornets",Ohio,"United States"
21,"JT Thor",PF,6/10/2023,205,8/26/2002,us,1,Auburn,"Charlotte Hornets",Nebraska,"United States"
4,"Nick Richards",C,7/1/2000,245,11/29/1997,jm,2,Kentucky,"Charlotte Hornets",,Jamaica
8,"Dennis Smith Jr.",PG,6/2/2023,205,11/25/1997,us,5,"NC State","Charlotte Hornets","North Carolina","United States"
9,"Th̩o Maledon  (TW)",PG,6/4/2023,175,6/12/2001,fr,2,,"Charlotte Hornets",,France
12,"Kelly Oubre Jr.",SF,6/7/2023,203,12/9/1995,us,7,Kansas,"Charlotte Hornets",Louisiana,"United States"
20,"Gordon Hayward",SF,6/7/2023,225,3/23/1990,us,12,Butler,"Charlotte Hornets",Indiana,"United States"
1,"LaMelo Ball",PG,6/7/2023,180,8/22/2001,us,2,,"Charlotte Hornets",California,"United States"
5,"Mark Williams",C,7/1/2023,241,12/16/2001,us,R,Duke,"Charlotte Hornets",Virginia,"United States"
23,"Kai Jones",C,6/11/2023,218,1/19/2001,bs,1,Texas,"Charlotte Hornets",,Bahamas
2,"James Bouknight",SG,6/5/2023,190,9/18/2000,us,1,UConn,"Charlotte Hornets","New York","United States"
7,"Bryce McGowens  (TW)",SG,6/7/2023,179,11/8/2002,us,R,Nebraska,"Charlotte Hornets","South Carolina","United States"
11,"Cody Martin",SF,6/5/2023,205,9/28/1995,us,3,"NC State, Nevada","Charlotte Hornets","North Carolina","United States"
10,"Svi Mykhailiuk",SF,6/7/2023,205,6/10/1997,ua,4,Kansas,"Charlotte Hornets",,Ukraine
9,"Nikola Vu?evi?",C,6/10/2023,260,10/24/1990,ch,11,USC,"Chicago Bulls",,Switzerland
44,"Patrick Williams",PF,6/7/2023,215,8/26/2001,us,2,"Florida State","Chicago Bulls","North Carolina","United States"
12,"Ayo Dosunmu",SG,6/5/2023,200,1/17/2000,us,1,Illinois,"Chicago Bulls",Illinois,"United States"
8,"Zach LaVine",SG,6/5/2023,200,3/10/1995,us,8,UCLA,"Chicago Bulls",Washington,"United States"
11,"DeMar DeRozan",SF,6/6/2023,220,8/7/1989,us,13,USC,"Chicago Bulls",California,"United States"
7,"Goran Dragi?",PG,6/3/2023,190,5/6/1986,si,14,,"Chicago Bulls",,Slovenia
0,"Coby White",SG,6/5/2023,195,2/16/2000,us,3,UNC,"Chicago Bulls","North Carolina","United States"
6,"Alex Caruso",PG,6/4/2023,186,2/28/1994,us,5,"Texas A&M","Chicago Bulls",Texas,"United States"
5,"Derrick Jones Jr.",SF,6/5/2023,210,2/15/1997,us,6,UNLV,"Chicago Bulls",Pennsylvania,"United States"
3,"Andre Drummond",C,6/10/2023,279,8/10/1993,us,10,UConn,"Chicago Bulls","New York","United States"
24,"Javonte Green",SG,6/4/2023,205,7/23/1993,us,3,Radford,"Chicago Bulls",Virginia,"United States"
25,"Dalen Terry",SG,6/7/2023,195,7/12/2002,us,R,Arizona,"Chicago Bulls",Arizona,"United States"
13,"Tony Bradley",C,6/10/2023,248,1/8/1998,us,5,UNC,"Chicago Bulls",Florida,"United States"
21,"Malcolm Hill  (TW)",SF,6/6/2023,220,10/26/1995,us,1,Illinois,"Chicago Bulls",Missouri,"United States"
19,"Marko Simonovic",C,6/11/2023,216,10/15/1999,me,1,,"Chicago Bulls",,Montenegro
2,"Lonzo Ball",PG,6/6/2023,190,10/27/1997,us,5,UCLA,"Chicago Bulls",California,"United States"
35,"Isaac Okoro",SF,6/5/2023,225,1/26/2001,us,2,Auburn,"Cleveland Cavaliers",Georgia,"United States"
4,"Evan Mobley",PF,7/1/2000,215,6/18/2001,us,1,USC,"Cleveland Cavaliers",California,"United States"
16,"Cedi Osman",SF,6/7/2023,230,4/8/1995,mk,5,,"Cleveland Cavaliers",,"North Macedonia"
3,"Caris LeVert",SG,6/6/2023,205,8/25/1994,us,6,Michigan,"Cleveland Cavaliers",Ohio,"United States"
31,"Jarrett Allen",C,6/11/2023,243,4/21/1998,us,5,Texas,"Cleveland Cavaliers",California,"United States"
10,"Darius Garland",PG,6/1/2023,192,1/26/2000,us,3,Vanderbilt,"Cleveland Cavaliers",Indiana,"United States"
45,"Donovan Mitchell",SG,6/1/2023,215,9/7/1996,us,5,Louisville,"Cleveland Cavaliers","New York","United States"
8,"Lamar Stevens",PF,6/6/2023,230,7/9/1997,us,2,"Penn State","Cleveland Cavaliers",Pennsylvania,"United States"
0,"Kevin Love",PF,6/8/2023,251,9/7/1988,us,14,UCLA,"Cleveland Cavaliers",California,"United States"
19,"Raul Neto",PG,6/1/2023,180,5/19/1992,br,7,,"Cleveland Cavaliers",,Brazil
32,"Dean Wade",PF,6/9/2023,228,11/20/1996,us,3,"Kansas State","Cleveland Cavaliers",Kansas,"United States"
33,"Robin Lopez",C,7/1/2000,281,4/1/1988,us,14,Stanford,"Cleveland Cavaliers",California,"United States"
21,"Mamadi Diakite  (TW)",PF,6/9/2023,228,1/21/1997,gn,2,Virginia,"Cleveland Cavaliers",,Guinea
13,"Ricky Rubio",PG,6/2/2023,190,10/21/1990,es,11,,"Cleveland Cavaliers",,Spain
15,"Isaiah Mobley  (TW)",PF,6/10/2023,240,9/24/1999,us,R,USC,"Cleveland Cavaliers",California,"United States"
9,"Dylan Windler",SF,6/6/2023,196,9/22/1996,us,2,Belmont,"Cleveland Cavaliers",Indiana,"United States"
25,"Reggie Bullock",SF,6/6/2023,205,3/16/1991,us,9,UNC,"Dallas Mavericks",Maryland,"United States"
7,"Dwight Powell",C,6/10/2023,240,7/20/1991,ca,8,Stanford,"Dallas Mavericks",,Canada
11,"Tim Hardaway Jr.",SG,6/5/2023,205,3/16/1992,us,9,Michigan,"Dallas Mavericks",California,"United States"
77,"Luka Don?i?",PG,6/7/2023,230,2/28/1999,si,4,,"Dallas Mavericks",,Slovenia
35,"Christian Wood",C,6/10/2023,214,9/27/1995,us,6,UNLV,"Dallas Mavericks",California,"United States"
8,"Josh Green",SG,6/5/2023,200,11/16/2000,au,2,Arizona,"Dallas Mavericks",,"United States"
0,"JaVale McGee",C,7/1/2000,270,1/19/1988,us,14,Nevada,"Dallas Mavericks",Michigan,"United States"
21,"Frank Ntilikina",PG,6/4/2023,200,7/28/1998,be,5,,"Dallas Mavericks",,Belgium
44,"D?vis Bert?ns",PF,6/10/2023,225,11/12/1992,lv,6,,"Dallas Mavericks",,Latvia
1,"Theo Pinson",SG,6/5/2023,212,11/5/1995,us,4,UNC,"Dallas Mavericks","North Carolina","United States"
3,"Jaden Hardy",SG,6/4/2023,198,7/5/2002,us,R,,"Dallas Mavericks",Michigan,"United States"
42,"Maxi Kleber",C,6/10/2023,240,1/29/1992,de,5,,"Dallas Mavericks",,Germany
23,"McKinley Wright IV  (TW)",PG,6/1/2000,196,10/25/1998,us,1,Colorado,"Dallas Mavericks",Minnesota,"United States"
9,"A.J. Lawson  (TW)",SG,6/6/2023,179,7/15/2000,ca,R,"South Carolina","Dallas Mavericks",,Canada
2,"Kyrie Irving",PG,6/2/2023,195,3/23/1992,au,11,Duke,"Dallas Mavericks",,Australia
NULL,"Markieff Morris",PF,6/9/2023,245,9/2/1989,us,11,Kansas,"Dallas Mavericks",Pennsylvania,"United States"
11,"Bruce Brown",SG,6/4/2023,202,8/15/1996,us,4,"Miami (FL)","Denver Nuggets",Massachusetts,"United States"
5,"Kentavious Caldwell-Pope",SG,6/5/2023,204,2/18/1993,us,9,Georgia,"Denver Nuggets",Georgia,"United States"
0,"Christian Braun",SG,6/7/2023,218,4/17/2001,us,R,Kansas,"Denver Nuggets",Kansas,"United States"
15,"Nikola Joki?",C,6/11/2023,284,2/19/1995,rs,7,,"Denver Nuggets",,Serbia
50,"Aaron Gordon",PF,6/8/2023,235,9/16/1995,us,8,Arizona,"Denver Nuggets",California,"United States"
27,"Jamal Murray",PG,6/3/2023,215,2/23/1997,ca,5,Kentucky,"Denver Nuggets",,Canada
31,"Vlatko ?an?ar",PF,6/8/2023,236,4/10/1997,si,3,,"Denver Nuggets",,Slovenia
22,"Zeke Nnaji",PF,6/9/2023,240,1/9/2001,us,2,Arizona,"Denver Nuggets",Minnesota,"United States"
1,"Michael Porter Jr.",SF,6/10/2023,218,6/29/1998,us,3,Missouri,"Denver Nuggets",Missouri,"United States"
32,"Jeff Green",PF,6/8/2023,235,8/28/1986,us,14,Georgetown,"Denver Nuggets",Maryland,"United States"
6,"DeAndre Jordan",C,6/11/2023,265,7/21/1988,us,14,"Texas A&M","Denver Nuggets",Texas,"United States"
14,"Ish Smith",PG,6/1/2000,175,7/5/1988,us,12,"Wake Forest","Denver Nuggets","North Carolina","United States"
10,"Jack White  (TW)",SF,6/7/2023,225,8/5/1997,au,R,Duke,"Denver Nuggets",,Australia
8,"Peyton Watson",SG,6/8/2023,200,9/11/2002,us,R,UCLA,"Denver Nuggets",California,"United States"
13,"Thomas Bryant",C,6/10/2023,248,7/31/1997,us,5,Indiana,"Denver Nuggets",Indiana,"United States"
NULL,"Collin Gillespie  (TW)",PG,6/3/2023,195,6/25/1999,us,R,Villanova,"Denver Nuggets",Pennsylvania,"United States"
44,"Bojan Bogdanovi?",PF,6/7/2023,226,4/18/1989,ba,8,,"Detroit Pistons",,Bosnia
23,"Jaden Ivey",SG,6/4/2023,195,2/13/2002,us,R,Purdue,"Detroit Pistons",Indiana,"United States"
7,"Killian Hayes",PG,6/5/2023,195,7/27/2001,us,2,,"Detroit Pistons",Florida,"United States"
0,"Jalen Duren",C,6/10/2023,250,11/18/2003,us,R,Memphis,"Detroit Pistons",Delaware,"United States"
6,"Hamidou Diallo",SG,6/5/2023,202,7/31/1998,us,4,Kentucky,"Detroit Pistons","New York","United States"
28,"Isaiah Stewart",C,6/8/2023,250,5/22/2001,us,2,Washington,"Detroit Pistons","New York","United States"
5,"Alec Burks",SG,6/6/2023,214,7/20/1991,us,11,Colorado,"Detroit Pistons",Missouri,"United States"
18,"Cory Joseph",PG,6/3/2023,200,8/20/1991,ca,11,Texas,"Detroit Pistons",,Canada
12,"Isaiah Livers",PF,6/7/2023,230,7/28/1998,us,1,Michigan,"Detroit Pistons",Michigan,"United States"
35,"Marvin Bagley III",C,6/11/2023,235,3/14/1999,us,4,Duke,"Detroit Pistons",Arizona,"United States"
17,"Rodney McGruder",SG,6/4/2023,205,7/29/1991,us,6,"Kansas State","Detroit Pistons",Maryland,"United States"
9,"Nerlens Noel",C,6/11/2023,220,4/10/1994,us,8,Kentucky,"Detroit Pistons",Massachusetts,"United States"
