Country,"Number of Players"
"United States",374
Canada,21
Australia,9
France,7
Spain,5
Germany,5
Nigeria,5
Serbia,4
Slovenia,3
Japan,3
Bahamas,3
Bosnia,3
Turkey,3
"United Kingdom",3
Cameroon,3
Switzerland,2
Ukraine,2
Italy,2
Latvia,2
Congo,2
Sudan,2
Greece,2
Senegal,2
Angola,1
"Dominican Republic",1
Jamaica,1
Oregon,1
Montenegro,1
"New Zealand",1
Brazil,1
Guinea,1
Lithuania,1
Belgium,1
Croatia,1
"North Macedonia",1
"Czech Republic",1
Portugal,1
"Saint Lucia",1
Austria,1
Finland,1
Argentina,1
Israel,1
